transaction_id,user_id,amount,transaction_type,merchant_category,country,hour,device_risk_score,ip_risk_score,is_fraud
7148,370,159.54,Online,Electronics,DE,15,0.19,0.27,0
7100,122,5.48,ATM,Grocery,FR,15,0.05,0.11,0
9046,904,139.83,Online,Travel,DE,18,0.03,0.17,0
6599,550,122.60,Online,Clothing,US,13,0.00,0.13,0
7821,289,165.54,Online,Electronics,UK,18,0.07,0.23,0
4263,81,132.90,POS,Electronics,FR,10,0.09,0.17,0
2421,851,47.64,POS,Electronics,FR,22,0.17,0.05,0
9424,180,101.85,ATM,Food,DE,23,0.25,0.07,0
858,422,107.19,ATM,Grocery,FR,23,0.18,0.07,0
2617,886,91.44,QR,Grocery,TR,16,0.24,0.26,0
6602,687,138.71,Online,Electronics,UK,7,0.06,0.07,0
7364,864,103.36,POS,Grocery,DE,14,0.11,0.20,0
8924,383,115.47,ATM,Travel,UK,9,0.25,0.04,0
5516,236,108.87,ATM,Clothing,TR,17,0.01,0.06,0
430,644,101.36,ATM,Travel,FR,6,0.03,0.17,0
780,963,124.61,Online,Travel,FR,10,0.05,0.06,0
3134,313,136.82,ATM,Clothing,FR,6,0.12,0.01,0
6656,225,96.46,POS,Grocery,TR,21,0.01,0.02,0
1619,469,11.67,POS,Travel,UK,15,0.01,0.14,0
6718,671,76.32,POS,Grocery,TR,6,0.13,0.21,0
4444,573,46.35,QR,Food,UK,19,0.19,0.11,0
4224,49,55.53,ATM,Food,FR,6,0.08,0.14,0
4045,196,169.04,POS,Food,TR,15,0.08,0.25,0
8807,399,136.97,Online,Food,UK,21,0.27,0.16,0
5198,935,91.08,Online,Travel,UK,20,0.17,0.11,0
4094,466,209.80,QR,Food,DE,19,0.13,0.11,0
9468,739,50.14,POS,Clothing,US,12,0.11,0.21,0
8627,507,101.92,ATM,Food,DE,7,0.12,0.06,0
9637,560,1148.38,POS,Travel,DE,19,0.95,0.84,1
4098,541,123.58,Online,Clothing,US,7,0.21,0.23,0
4554,390,184.84,POS,Food,US,13,0.02,0.20,0
9711,935,952.55,QR,Travel,UK,20,0.78,0.99,1
5481,532,104.42,Online,Food,FR,6,0.19,0.11,0
9939,291,2865.42,ATM,Food,TR,13,0.83,0.90,1
2670,770,94.99,QR,Travel,DE,8,0.07,0.05,0
6904,310,1.00,POS,Food,DE,14,0.11,0.20,0
5261,594,32.69,POS,Food,UK,17,0.15,0.07,0
5119,413,78.26,ATM,Clothing,UK,17,0.24,0.13,0
1286,384,87.00,POS,Travel,TR,17,0.17,0.00,0
3477,282,122.42,Online,Electronics,FR,13,0.25,0.19,0
7000,992,74.89,POS,Grocery,UK,6,0.25,0.05,0
4910,471,200.51,QR,Food,US,20,0.18,0.01,0
7867,362,97.61,POS,Clothing,FR,9,0.00,0.26,0
2909,26,112.00,QR,Grocery,UK,11,0.06,0.03,0
3556,116,84.72,Online,Grocery,DE,6,0.10,0.20,0
1062,438,104.46,POS,Electronics,DE,16,0.19,0.19,0
7850,966,96.88,QR,Travel,DE,6,0.29,0.04,0
3658,332,75.07,ATM,Grocery,DE,20,0.10,0.28,0
5505,192,36.13,ATM,Food,US,7,0.09,0.06,0
8275,596,102.74,Online,Travel,US,23,0.00,0.11,0
7595,666,90.70,POS,Electronics,US,7,0.24,0.11,0
9723,631,2830.43,POS,Clothing,US,4,0.93,0.74,1
5772,258,95.93,ATM,Travel,US,10,0.16,0.12,0
5378,707,146.73,Online,Food,DE,6,0.29,0.19,0
6053,258,65.09,POS,Electronics,FR,11,0.15,0.29,0
7396,309,103.49,POS,Food,UK,13,0.28,0.17,0
20,733,133.63,POS,Clothing,US,16,0.19,0.27,0
170,590,58.47,QR,Clothing,FR,12,0.04,0.07,0
641,605,82.70,POS,Travel,US,20,0.16,0.19,0
3354,920,82.76,Online,Food,UK,23,0.29,0.20,0
1423,194,99.24,QR,Food,DE,22,0.16,0.14,0
2254,824,190.52,QR,Travel,TR,18,0.23,0.06,0
1640,649,128.31,ATM,Food,DE,18,0.02,0.23,0
7264,52,184.90,ATM,Food,DE,16,0.28,0.16,0
9223,554,116.59,POS,Food,DE,7,0.19,0.14,0
9507,706,2705.99,QR,Electronics,FR,10,0.77,0.80,1
6208,457,91.64,ATM,Grocery,UK,11,0.06,0.19,0
9248,355,95.68,POS,Food,US,15,0.04,0.19,0
1004,140,28.79,Online,Travel,TR,8,0.14,0.14,0
4876,773,80.66,ATM,Food,FR,13,0.29,0.17,0
1049,777,147.64,POS,Clothing,DE,12,0.13,0.26,0
7330,393,11.07,POS,Clothing,UK,16,0.17,0.08,0
5266,3,168.75,Online,Food,TR,11,0.03,0.20,0
6209,546,135.11,POS,Food,DE,6,0.14,0.16,0
1515,193,124.66,ATM,Travel,TR,8,0.03,0.15,0
4154,221,141.23,QR,Travel,TR,19,0.29,0.16,0
1078,833,56.93,POS,Food,UK,16,0.16,0.16,0
4650,511,141.43,POS,Clothing,DE,21,0.02,0.11,0
4181,730,170.65,ATM,Clothing,FR,12,0.20,0.21,0
8490,752,186.91,POS,Clothing,US,8,0.04,0.21,0
4305,481,88.35,POS,Travel,TR,17,0.02,0.26,0
2148,184,166.94,POS,Travel,UK,18,0.02,0.11,0
6610,49,120.98,POS,Travel,DE,15,0.21,0.11,0
4346,131,99.23,ATM,Travel,US,9,0.20,0.06,0
2021,375,149.30,Online,Food,UK,16,0.13,0.14,0
6992,603,96.03,ATM,Travel,TR,19,0.22,0.18,0
7122,951,126.73,QR,Food,US,11,0.16,0.02,0
8520,667,152.33,Online,Travel,TR,10,0.06,0.15,0
7995,854,96.41,ATM,Travel,FR,6,0.03,0.05,0
4436,966,202.58,Online,Food,DE,20,0.14,0.11,0
5807,366,22.28,POS,Travel,FR,11,0.30,0.07,0
2714,92,147.02,Online,Grocery,TR,6,0.20,0.11,0
9984,63,2995.35,ATM,Grocery,NG,11,0.86,0.89,1
7375,234,167.09,Online,Clothing,US,10,0.08,0.10,0
251,809,141.30,Online,Food,UK,22,0.11,0.06,0
9820,840,10.00,Online,Travel,DE,18,0.75,0.90,1
9929,735,2400.73,QR,Food,NG,15,0.99,0.98,1
3481,657,80.77,ATM,Electronics,UK,11,0.15,0.30,0
9701,64,1489.05,Online,Food,US,14,0.79,0.70,1
3952,44,92.20,POS,Travel,UK,8,0.03,0.27,0
7112,904,41.19,Online,Clothing,FR,7,0.28,0.13,0
3741,708,103.14,POS,Electronics,DE,20,0.00,0.19,0
5296,433,151.14,QR,Food,TR,19,0.05,0.15,0
9795,537,22.17,ATM,Clothing,US,4,0.99,0.92,1
1956,267,93.92,ATM,Grocery,US,6,0.03,0.05,0
8908,282,10.35,POS,Electronics,US,13,0.25,0.06,0
5878,69,167.47,Online,Food,FR,22,0.28,0.18,0
6637,662,70.38,POS,Food,US,7,0.21,0.22,0
2984,414,64.24,QR,Clothing,FR,10,0.07,0.09,0
5182,709,90.02,ATM,Food,TR,20,0.04,0.17,0
6129,215,74.06,Online,Grocery,TR,18,0.17,0.17,0
4067,593,102.35,ATM,Grocery,UK,19,0.10,0.14,0
4006,66,177.81,ATM,Electronics,US,18,0.22,0.21,0
5227,311,27.77,POS,Travel,FR,10,0.16,0.16,0
4087,216,1.00,Online,Grocery,DE,7,0.24,0.02,0
5935,791,88.52,Online,Clothing,TR,12,0.11,0.24,0
1051,344,56.41,QR,Grocery,TR,9,0.22,0.23,0
4121,547,137.58,POS,Travel,TR,19,0.23,0.14,0
2322,667,111.50,Online,Clothing,TR,22,0.28,0.17,0
1278,206,3.57,ATM,Clothing,FR,10,0.22,0.24,0
2009,35,125.42,QR,Food,US,17,0.18,0.10,0
2262,842,171.03,ATM,Grocery,DE,6,0.21,0.16,0
239,784,65.40,Online,Electronics,FR,7,0.24,0.06,0
3199,846,1.00,ATM,Electronics,US,21,0.05,0.08,0
5197,486,36.86,QR,Grocery,TR,13,0.13,0.05,0
2889,781,128.70,Online,Electronics,US,14,0.29,0.09,0
5434,690,64.05,ATM,Travel,TR,7,0.06,0.10,0
2581,508,19.30,Online,Electronics,DE,8,0.22,0.17,0
8204,891,25.71,Online,Electronics,US,11,0.10,0.00,0
5352,473,176.68,Online,Food,US,15,0.00,0.12,0
5148,203,184.84,Online,Electronics,UK,15,0.16,0.06,0
2879,803,107.83,POS,Food,DE,12,0.20,0.25,0
6626,973,158.66,POS,Clothing,DE,18,0.28,0.21,0
9728,572,10.00,ATM,Clothing,US,16,0.85,0.80,1
814,660,64.69,QR,Grocery,TR,11,0.14,0.13,0
8226,896,102.43,POS,Food,DE,15,0.06,0.27,0
8156,540,134.56,POS,Travel,UK,6,0.28,0.04,0
4812,139,109.54,POS,Food,FR,11,0.03,0.29,0
7788,627,148.33,POS,Electronics,UK,14,0.05,0.03,0
7343,773,111.92,QR,Clothing,US,8,0.18,0.04,0
4026,507,91.07,QR,Electronics,UK,23,0.09,0.16,0
316,117,101.61,ATM,Grocery,TR,23,0.17,0.02,0
5012,241,92.99,POS,Clothing,US,17,0.21,0.19,0
8314,441,65.07,QR,Grocery,UK,12,0.04,0.29,0
1635,954,14.24,QR,Clothing,FR,22,0.10,0.24,0
2906,20,105.90,POS,Food,FR,22,0.01,0.16,0
7826,127,77.83,Online,Electronics,UK,10,0.04,0.24,0
1848,510,110.94,QR,Travel,UK,17,0.03,0.10,0
6186,762,65.07,Online,Clothing,US,21,0.17,0.08,0
4474,886,98.11,ATM,Electronics,TR,18,0.16,0.17,0
560,570,162.86,POS,Clothing,FR,7,0.01,0.22,0
4685,93,48.21,QR,Food,UK,19,0.25,0.05,0
9500,438,1927.70,POS,Grocery,NG,21,1.00,0.80,1
2985,338,102.77,Online,Clothing,UK,23,0.05,0.11,0
4996,128,77.21,Online,Electronics,TR,17,0.06,0.21,0
4499,679,23.02,Online,Grocery,TR,12,0.08,0.19,0
383,518,148.70,QR,Grocery,TR,10,0.01,0.07,0
7817,343,135.68,ATM,Travel,US,23,0.14,0.17,0
9345,600,128.14,ATM,Travel,US,18,0.01,0.18,0
9211,601,86.78,Online,Clothing,TR,10,0.10,0.09,0
1041,467,84.62,QR,Clothing,US,11,0.25,0.11,0
8650,76,51.18,QR,Electronics,FR,14,0.08,0.18,0
3464,177,41.00,POS,Travel,UK,10,0.25,0.23,0
6571,537,107.22,POS,Food,DE,10,0.09,0.19,0
3567,682,71.39,POS,Food,US,10,0.25,0.15,0
2597,25,33.75,POS,Clothing,DE,7,0.03,0.09,0
2858,878,163.76,QR,Food,FR,8,0.22,0.19,0
4107,721,36.31,Online,Food,TR,13,0.14,0.03,0
4195,483,161.71,QR,Electronics,UK,23,0.27,0.00,0
4821,747,31.59,Online,Electronics,TR,19,0.07,0.06,0
6518,947,73.39,POS,Electronics,US,20,0.29,0.09,0
4603,179,38.74,POS,Travel,FR,13,0.28,0.11,0
5156,782,177.57,Online,Electronics,TR,22,0.09,0.03,0
7602,880,96.30,ATM,Grocery,DE,7,0.05,0.24,0
9307,63,143.78,Online,Clothing,FR,12,0.18,0.29,0
9575,622,1110.13,ATM,Electronics,US,4,0.98,0.83,1
2344,569,101.94,QR,Electronics,TR,10,0.30,0.17,0
2379,183,103.23,ATM,Electronics,UK,11,0.05,0.19,0
3176,598,123.41,Online,Travel,US,20,0.29,0.02,0
7796,604,23.94,Online,Grocery,TR,13,0.22,0.14,0
9138,110,111.04,Online,Clothing,FR,17,0.29,0.05,0
3299,210,99.46,ATM,Food,FR,23,0.18,0.25,0
5656,199,182.63,QR,Clothing,DE,11,0.23,0.23,0
1781,767,81.50,ATM,Clothing,FR,10,0.04,0.28,0
8105,809,149.55,QR,Grocery,DE,12,0.20,0.28,0
688,660,129.50,ATM,Travel,TR,23,0.01,0.29,0
9119,684,104.94,QR,Food,TR,15,0.16,0.02,0
2963,953,56.02,POS,Clothing,DE,7,0.16,0.29,0
4977,873,95.13,QR,Electronics,DE,19,0.07,0.27,0
842,868,111.56,POS,Clothing,TR,21,0.15,0.08,0
5231,877,186.94,Online,Food,US,22,0.04,0.05,0
71,684,88.56,POS,Clothing,US,9,0.19,0.25,0
4538,339,1.00,ATM,Clothing,TR,10,0.21,0.01,0
6903,59,29.85,QR,Electronics,FR,16,0.17,0.18,0
6091,301,81.15,QR,Electronics,UK,10,0.06,0.18,0
1077,366,72.25,POS,Clothing,UK,10,0.24,0.27,0
9754,616,1094.09,ATM,Electronics,TR,9,1.00,0.90,1
8773,486,93.84,ATM,Food,UK,23,0.12,0.03,0
3702,24,118.61,POS,Clothing,DE,17,0.07,0.15,0
5176,354,91.22,Online,Grocery,DE,22,0.05,0.25,0
8888,256,115.03,POS,Travel,FR,18,0.06,0.26,0
6462,641,49.96,Online,Grocery,DE,6,0.04,0.22,0
3102,59,26.86,ATM,Food,FR,10,0.09,0.10,0
7899,960,7.68,POS,Travel,DE,22,0.02,0.09,0
2052,824,75.47,QR,Food,DE,14,0.08,0.09,0
6723,214,101.34,POS,Electronics,US,8,0.08,0.22,0
7907,438,89.87,QR,Clothing,DE,19,0.14,0.24,0
434,433,1.00,Online,Grocery,TR,20,0.21,0.04,0
3457,426,137.06,QR,Food,TR,15,0.25,0.02,0
987,887,65.11,Online,Electronics,US,16,0.30,0.17,0
5612,364,97.61,QR,Food,FR,9,0.16,0.28,0
8510,680,64.50,Online,Food,DE,6,0.03,0.20,0
4819,893,6.41,POS,Clothing,DE,18,0.29,0.15,0
1122,880,75.23,Online,Food,UK,6,0.19,0.26,0
4955,636,95.93,POS,Electronics,TR,14,0.14,0.28,0
6092,30,59.84,Online,Clothing,TR,15,0.03,0.18,0
9200,243,47.93,ATM,Electronics,TR,6,0.22,0.16,0
4352,58,106.55,POS,Electronics,TR,14,0.07,0.02,0
5596,610,97.40,Online,Clothing,UK,20,0.28,0.04,0
2422,139,129.28,QR,Food,DE,15,0.23,0.06,0
29,326,82.44,ATM,Travel,FR,6,0.18,0.20,0
804,378,54.31,QR,Food,TR,18,0.14,0.01,0
4614,125,64.18,Online,Clothing,US,13,0.15,0.14,0
2965,988,131.76,POS,Grocery,TR,9,0.07,0.17,0
5276,419,44.77,ATM,Electronics,UK,17,0.11,0.09,0
9036,918,164.86,QR,Food,US,10,0.02,0.11,0
5723,313,21.09,ATM,Clothing,FR,17,0.16,0.28,0
5247,567,131.20,Online,Grocery,TR,12,0.08,0.21,0
5774,868,167.99,Online,Clothing,TR,17,0.27,0.25,0
5491,693,55.63,Online,Electronics,US,19,0.23,0.16,0
3343,327,93.45,Online,Clothing,UK,7,0.12,0.26,0
9478,503,143.96,QR,Food,UK,12,0.15,0.14,0
1433,757,114.41,Online,Grocery,FR,6,0.14,0.02,0
2698,732,50.09,QR,Electronics,US,12,0.17,0.25,0
5858,808,55.16,POS,Travel,DE,23,0.14,0.16,0
9347,792,128.22,Online,Travel,DE,9,0.29,0.14,0
7584,391,141.48,ATM,Food,FR,18,0.21,0.11,0
7243,304,110.86,Online,Clothing,UK,10,0.01,0.12,0
6405,721,121.73,ATM,Clothing,UK,20,0.04,0.27,0
5642,821,38.26,POS,Grocery,DE,7,0.18,0.22,0
7209,312,58.83,QR,Electronics,TR,8,0.11,0.10,0
8989,294,67.71,ATM,Food,DE,15,0.04,0.08,0
7730,218,122.05,ATM,Grocery,US,21,0.16,0.15,0
9566,461,3444.77,ATM,Clothing,FR,4,0.78,0.93,1
9369,443,109.49,Online,Travel,US,17,0.14,0.18,0
912,700,170.62,Online,Food,TR,18,0.22,0.13,0
4443,610,158.92,QR,Electronics,TR,11,0.14,0.02,0
6745,598,87.64,POS,Grocery,DE,6,0.21,0.29,0
8249,504,172.21,Online,Grocery,TR,9,0.14,0.11,0
1844,644,100.66,QR,Clothing,DE,19,0.21,0.29,0
6080,485,126.08,POS,Travel,US,9,0.12,0.20,0
3461,512,80.72,POS,Clothing,UK,23,0.15,0.14,0
4284,339,84.83,QR,Grocery,UK,19,0.30,0.08,0
2738,95,65.03,ATM,Food,TR,22,0.09,0.22,0
5162,819,88.40,POS,Food,FR,14,0.29,0.26,0
6042,235,141.75,POS,Electronics,DE,17,0.02,0.00,0
5953,737,242.29,ATM,Food,FR,6,0.10,0.27,0
7395,436,160.22,Online,Clothing,FR,16,0.29,0.23,0
3183,555,105.77,ATM,Travel,UK,11,0.08,0.06,0
9091,537,59.08,ATM,Travel,DE,10,0.28,0.07,0
8126,640,129.02,Online,Grocery,TR,12,0.13,0.25,0
1068,19,60.77,QR,Food,FR,17,0.25,0.26,0
909,800,129.60,Online,Food,UK,14,0.23,0.18,0
6124,504,21.11,QR,Grocery,US,8,0.02,0.12,0
5408,364,173.65,ATM,Grocery,US,21,0.18,0.15,0
3921,428,238.13,Online,Grocery,US,10,0.23,0.29,0
3198,205,60.27,ATM,Food,TR,19,0.05,0.19,0
3558,769,98.57,POS,Clothing,US,12,0.18,0.29,0
6786,605,99.74,ATM,Electronics,TR,21,0.29,0.19,0
3989,246,150.68,ATM,Travel,US,6,0.14,0.19,0
9982,802,10.00,ATM,Food,FR,4,0.99,0.90,1
582,38,117.98,POS,Electronics,UK,21,0.21,0.03,0
6897,304,137.17,ATM,Clothing,FR,18,0.24,0.27,0
8947,14,121.13,Online,Travel,TR,18,0.23,0.09,0
1773,919,1.00,ATM,Food,DE,8,0.02,0.19,0
7516,239,54.45,ATM,Clothing,DE,9,0.00,0.25,0
3896,901,121.42,Online,Electronics,US,10,0.22,0.06,0
473,558,149.39,ATM,Grocery,TR,21,0.13,0.11,0
6488,70,105.22,QR,Grocery,US,20,0.20,0.27,0
9050,802,90.67,POS,Electronics,TR,17,0.20,0.28,0
9441,949,94.23,ATM,Food,DE,19,0.06,0.19,0
6341,296,101.54,Online,Food,US,22,0.17,0.04,0
8398,519,17.69,ATM,Electronics,UK,18,0.22,0.02,0
6248,6,155.09,QR,Food,DE,16,0.07,0.13,0
6105,83,118.76,POS,Grocery,US,18,0.16,0.04,0
1521,750,44.16,QR,Travel,US,15,0.12,0.08,0
4697,912,114.48,Online,Clothing,UK,15,0.08,0.07,0
2250,383,121.75,QR,Travel,FR,12,0.10,0.03,0
9434,758,64.19,Online,Travel,FR,11,0.17,0.16,0
1469,764,108.46,POS,Clothing,US,16,0.04,0.16,0
2441,725,143.41,ATM,Electronics,US,20,0.01,0.25,0
6471,351,138.93,ATM,Grocery,US,17,0.14,0.25,0
6368,928,65.22,Online,Electronics,TR,13,0.17,0.06,0
9101,698,79.27,POS,Clothing,DE,23,0.04,0.10,0
9060,782,92.18,QR,Electronics,UK,12,0.12,0.17,0
7524,374,109.48,Online,Electronics,DE,8,0.27,0.06,0
4328,341,127.77,QR,Clothing,TR,19,0.04,0.22,0
2990,186,118.01,Online,Electronics,FR,14,0.13,0.18,0
9932,473,2186.58,QR,Food,NG,0,0.86,0.80,1
6048,122,52.84,QR,Electronics,UK,21,0.27,0.13,0
5569,423,1.00,ATM,Travel,UK,6,0.12,0.08,0
1382,661,62.08,ATM,Electronics,TR,8,0.06,0.23,0
3775,562,220.92,QR,Travel,DE,13,0.29,0.29,0
2989,833,104.72,ATM,Travel,US,11,0.07,0.17,0
6193,494,13.50,QR,Grocery,TR,11,0.18,0.22,0
7931,665,1.00,POS,Clothing,UK,19,0.04,0.17,0
2992,137,206.78,ATM,Clothing,DE,22,0.16,0.05,0
5959,350,130.59,QR,Grocery,FR,9,0.06,0.06,0
7269,977,113.22,POS,Clothing,TR,10,0.04,0.13,0
1729,263,55.35,POS,Clothing,FR,12,0.02,0.13,0
3262,325,121.89,Online,Travel,US,15,0.28,0.20,0
9612,854,1220.17,Online,Travel,TR,18,0.78,0.84,1
4640,638,32.82,POS,Travel,FR,21,0.17,0.13,0
2036,423,104.37,Online,Clothing,TR,7,0.09,0.14,0
8100,42,1.26,Online,Grocery,US,10,0.17,0.12,0
3327,522,79.12,POS,Travel,DE,17,0.22,0.13,0
9636,451,22.17,QR,Food,UK,4,0.89,0.90,1
7580,548,119.13,QR,Food,US,17,0.01,0.08,0
2471,987,81.80,QR,Travel,US,10,0.25,0.23,0
8899,220,149.06,Online,Electronics,FR,21,0.08,0.00,0
1316,318,154.83,QR,Travel,TR,20,0.23,0.25,0
8452,324,88.55,Online,Clothing,TR,15,0.26,0.08,0
3557,270,89.76,Online,Clothing,UK,6,0.06,0.11,0
7947,412,109.33,QR,Food,FR,23,0.15,0.28,0
4818,727,81.34,Online,Travel,FR,22,0.06,0.17,0
5892,288,72.32,ATM,Electronics,DE,12,0.18,0.00,0
7946,339,116.80,QR,Grocery,US,13,0.05,0.10,0
5493,155,63.27,Online,Electronics,US,19,0.28,0.06,0
1299,302,109.98,ATM,Grocery,US,7,0.04,0.12,0
2149,5,11.99,Online,Clothing,FR,15,0.23,0.18,0
806,885,45.49,QR,Clothing,US,16,0.18,0.23,0
8048,169,190.91,ATM,Travel,US,21,0.08,0.06,0
2843,75,132.01,Online,Electronics,UK,17,0.13,0.24,0
6755,355,123.54,POS,Travel,DE,11,0.05,0.17,0
1427,448,90.29,Online,Grocery,US,16,0.01,0.10,0
4965,761,28.51,Online,Travel,US,6,0.22,0.24,0
2753,979,106.47,POS,Travel,TR,8,0.12,0.27,0
5448,68,140.29,QR,Grocery,TR,11,0.18,0.05,0
94,183,94.05,QR,Clothing,DE,10,0.06,0.12,0
8130,791,139.92,POS,Grocery,TR,11,0.00,0.07,0
973,564,34.96,QR,Food,TR,7,0.19,0.12,0
5940,492,171.43,ATM,Grocery,US,10,0.18,0.26,0
5259,772,117.12,Online,Grocery,UK,15,0.20,0.13,0
6716,944,101.80,ATM,Food,TR,17,0.05,0.22,0
3636,34,97.32,POS,Electronics,FR,9,0.11,0.27,0
2579,654,141.26,ATM,Clothing,US,21,0.06,0.10,0
5471,377,122.57,QR,Clothing,FR,21,0.27,0.25,0
3570,421,55.34,POS,Grocery,US,23,0.20,0.20,0
3075,236,119.90,Online,Electronics,UK,6,0.09,0.05,0
5318,757,28.52,POS,Travel,UK,8,0.04,0.02,0
8418,889,127.20,ATM,Travel,US,20,0.16,0.18,0
4215,316,96.06,Online,Grocery,US,18,0.29,0.17,0
8675,957,165.73,ATM,Food,UK,22,0.11,0.22,0
6983,287,84.53,QR,Clothing,TR,11,0.05,0.16,0
6991,648,78.45,POS,Clothing,FR,18,0.13,0.24,0
951,882,95.75,POS,Travel,FR,17,0.18,0.16,0
3315,751,168.56,POS,Travel,UK,15,0.05,0.18,0
8733,949,25.36,Online,Electronics,US,20,0.11,0.16,0
9232,542,123.99,Online,Travel,FR,13,0.18,0.15,0
9544,833,378.03,QR,Electronics,DE,10,0.89,0.97,1
3612,661,118.94,ATM,Travel,US,10,0.29,0.27,0
92,473,105.05,Online,Clothing,DE,12,0.13,0.28,0
1866,720,71.36,QR,Clothing,UK,15,0.22,0.16,0
6287,108,73.14,QR,Electronics,FR,9,0.23,0.04,0
331,848,28.35,Online,Travel,UK,19,0.09,0.01,0
5662,397,163.90,QR,Grocery,FR,16,0.21,0.07,0
1960,809,51.14,ATM,Electronics,US,21,0.08,0.01,0
5728,782,112.58,POS,Grocery,UK,16,0.29,0.12,0
6879,497,52.37,POS,Grocery,TR,20,0.18,0.18,0
225,631,148.46,ATM,Electronics,FR,11,0.17,0.08,0
2349,246,116.01,ATM,Clothing,DE,7,0.13,0.26,0
7138,817,178.68,ATM,Clothing,DE,20,0.02,0.12,0
7968,729,59.20,QR,Travel,US,7,0.17,0.09,0
296,803,56.56,QR,Grocery,TR,10,0.26,0.21,0
6684,128,143.11,Online,Electronics,UK,14,0.10,0.07,0
437,799,113.33,POS,Grocery,US,13,0.21,0.16,0
7623,926,143.72,QR,Clothing,TR,8,0.16,0.16,0
772,84,125.70,Online,Travel,DE,6,0.29,0.09,0
9158,676,80.66,Online,Food,TR,8,0.06,0.22,0
7724,866,86.35,ATM,Food,DE,16,0.22,0.22,0
5002,555,56.44,POS,Travel,UK,8,0.07,0.06,0
4739,692,114.29,ATM,Electronics,TR,15,0.08,0.06,0
8537,949,152.43,ATM,Grocery,FR,23,0.25,0.01,0
7368,126,112.73,ATM,Clothing,UK,7,0.19,0.22,0
6631,934,53.68,ATM,Clothing,FR,23,0.14,0.18,0
4544,197,15.41,ATM,Food,US,12,0.10,0.24,0
8072,770,86.60,POS,Clothing,US,21,0.25,0.05,0
